customerID,Churn_Probability,Risk_Level,Contract,MonthlyCharges
2034-GDRCN,0.9256793,High Risk,Month-to-month,90.4
5167-ZFFMM,0.92455786,High Risk,Month-to-month,90.85
0390-DCFDQ,0.9227533,High Risk,Month-to-month,70.45
3716-BDVDB,0.9220664,High Risk,Month-to-month,69.1
3319-DWOEP,0.9219704,High Risk,Month-to-month,95.75
0616-ATFGB,0.9210093,High Risk,Month-to-month,25.05
9565-DJPIB,0.9209248,High Risk,Month-to-month,89.6
5419-CONWX,0.9209029,High Risk,Month-to-month,99.8
5186-SAMNZ,0.9206781,High Risk,Month-to-month,69.5
5052-PNLOS,0.91925234,High Risk,Month-to-month,105.35
3707-GNWHM,0.9190813,High Risk,Month-to-month,74.25
1768-ZAIFU,0.9186052,High Risk,Month-to-month,25.2
1746-TGTWV,0.9174117,High Risk,Month-to-month,75.35
2856-HYAPG,0.9158504,High Risk,Month-to-month,68.65
8380-PEFPE,0.9158115,High Risk,Month-to-month,71.65
2865-TCHJW,0.915014,High Risk,Month-to-month,89.2
9050-IKDZA,0.9135218,High Risk,Month-to-month,81.5
3296-SILRA,0.9126349,High Risk,Month-to-month,76.4
2984-AFWNC,0.91226494,High Risk,Month-to-month,95.4
9878-TNQGW,0.9122165,High Risk,Month-to-month,80.95
8593-WHYHV,0.9122165,High Risk,Month-to-month,85.3
1143-NMNQJ,0.9122165,High Risk,Month-to-month,85.7
5196-SGOAK,0.91201925,High Risk,Month-to-month,75.7
2737-YNGYW,0.91013354,High Risk,Month-to-month,80.55
1062-LHZOD,0.90935963,High Risk,Month-to-month,69.9
4234-XTNEA,0.90842026,High Risk,Month-to-month,79.95
3841-CONLJ,0.90820843,High Risk,Month-to-month,35.0
3519-ZKXGG,0.9081797,High Risk,Month-to-month,75.85
4445-ZJNMU,0.908122,High Risk,Month-to-month,99.3
4078-SAYYN,0.9074817,High Risk,Month-to-month,100.75
4750-ZRXIU,0.9055805,High Risk,Month-to-month,84.6
5150-ITWWB,0.9055588,High Risk,Month-to-month,94.85
0841-NULXI,0.90545475,High Risk,Month-to-month,35.55
7209-JCUDS,0.90488315,High Risk,Month-to-month,94.9
3177-LASXD,0.90415597,High Risk,Month-to-month,71.35
0187-QSXOE,0.9030362,High Risk,Month-to-month,89.0
2123-AGEEN,0.9022577,High Risk,Month-to-month,84.35
3916-NRPAP,0.9022367,High Risk,Month-to-month,85.7
6969-MVBAI,0.9013255,High Risk,Month-to-month,90.1
4706-DGAHW,0.90096223,High Risk,Month-to-month,45.2
5698-BQJOH,0.89912367,High Risk,Month-to-month,94.4
7181-BQYBV,0.8990595,High Risk,Month-to-month,102.45
6023-YEBUP,0.8967927,High Risk,Month-to-month,100.95
5956-YHHRX,0.8958231,High Risk,Month-to-month,104.35
6137-NICCO,0.8954956,High Risk,Month-to-month,94.05
1200-TUZHR,0.89528286,High Risk,Month-to-month,85.2
3908-BLSYF,0.89511484,High Risk,Month-to-month,83.9
8258-GSTJK,0.89462644,High Risk,Month-to-month,77.0
9611-CTWIH,0.8944063,High Risk,Month-to-month,89.45
3097-NQYSN,0.8906948,High Risk,Month-to-month,86.85
8622-ZLFKO,0.8899025,High Risk,Month-to-month,90.75
0258-NOKBL,0.8877821,High Risk,Month-to-month,90.4
6328-ZPBGN,0.8872518,High Risk,Month-to-month,95.15
9907-SWKKF,0.8867405,High Risk,Month-to-month,25.05
5159-YFPKQ,0.88567513,High Risk,Month-to-month,75.8
4115-NZRKS,0.8854825,High Risk,Month-to-month,89.15
6979-ZNSFF,0.8840787,High Risk,Month-to-month,87.05
8245-UMPYT,0.88332623,High Risk,Month-to-month,96.4
4587-VVTOX,0.88095,High Risk,Month-to-month,105.3
5357-TZHPP,0.8809324,High Risk,Month-to-month,84.4
3877-JRJIP,0.8808183,High Risk,Month-to-month,59.85
3191-CSNMG,0.8790526,High Risk,Month-to-month,80.7
7273-TEFQD,0.8789127,High Risk,Month-to-month,41.15
9747-DDZOS,0.8788126,High Risk,Month-to-month,73.5
9822-OAOVB,0.8779137,High Risk,Month-to-month,55.45
3891-PUQOD,0.8775834,High Risk,Month-to-month,59.2
6376-GAHQE,0.8774196,High Risk,Month-to-month,77.85
9221-OTIVJ,0.8768608,High Risk,Month-to-month,104.85
2761-OCIAX,0.87683696,High Risk,Month-to-month,74.7
3677-IYRBF,0.8750049,High Risk,Month-to-month,30.4
2135-DQWAQ,0.87435573,High Risk,Month-to-month,85.3
8040-MNRTF,0.8743151,High Risk,Month-to-month,71.1
6198-ZFIOJ,0.8734354,High Risk,Month-to-month,75.6
4112-LUEIZ,0.8721373,High Risk,Month-to-month,89.5
0923-PNFUB,0.8721055,High Risk,Month-to-month,83.75
2952-QAYZF,0.8715176,High Risk,Month-to-month,85.3
2959-MJHIC,0.8708979,High Risk,Month-to-month,80.35
8720-RQSBJ,0.8705895,High Risk,Month-to-month,44.0
8443-ZRDBZ,0.8705728,High Risk,Month-to-month,76.05
4749-OJKQU,0.8705728,High Risk,Month-to-month,75.65
2919-HBCJO,0.8703671,High Risk,Month-to-month,76.65
4706-AXVKM,0.86936456,High Risk,Month-to-month,84.8
6435-SRWBJ,0.86930275,High Risk,Month-to-month,82.75
7005-CCBKV,0.86766815,High Risk,Month-to-month,84.4
7130-VTEWQ,0.8676522,High Risk,Month-to-month,75.75
4633-MKHYU,0.86664474,High Risk,Month-to-month,88.4
6892-XPFPU,0.86644477,High Risk,Month-to-month,104.25
1320-HTRDR,0.866377,High Risk,Month-to-month,75.5
6833-JMZYP,0.8658033,High Risk,Month-to-month,94.0
7198-GLXTC,0.8657843,High Risk,Month-to-month,79.0
4813-HQMGZ,0.8652457,High Risk,Month-to-month,90.25
7044-YAACC,0.86517334,High Risk,Month-to-month,70.2
6956-SMUCM,0.86500686,High Risk,Month-to-month,99.0
9227-LUNBG,0.86459047,High Risk,Month-to-month,24.6
2077-MPJQO,0.86367875,High Risk,Month-to-month,75.4
7249-WBIYX,0.8631653,High Risk,Month-to-month,85.6
1024-GUALD,0.86107385,High Risk,Month-to-month,24.8
0952-KMEEH,0.860261,High Risk,Month-to-month,98.15
2027-FECZV,0.86006284,High Risk,Month-to-month,106.7
1731-TVIUK,0.8591266,High Risk,Month-to-month,93.5
3727-RJMEO,0.858432,High Risk,Month-to-month,82.85
2674-MIAHT,0.85751134,High Risk,Month-to-month,80.3
5129-JLPIS,0.8567863,High Risk,Month-to-month,105.5
1112-CUNAO,0.8546644,High Risk,Month-to-month,89.85
5442-BHQNG,0.8539203,High Risk,Month-to-month,70.35
0876-WDUUZ,0.85338956,High Risk,Month-to-month,85.4
0365-BZUWY,0.85277927,High Risk,Month-to-month,102.55
2055-PDADH,0.85243356,High Risk,Month-to-month,70.4
4229-CZMLL,0.8523223,High Risk,Month-to-month,74.9
9402-ORRAH,0.8517793,High Risk,Month-to-month,91.5
8325-QRPZR,0.8512037,High Risk,Month-to-month,75.15
2025-JKFWI,0.84834665,High Risk,Month-to-month,99.0
5288-AHOUP,0.8473688,High Risk,Month-to-month,78.5
8266-VBFQL,0.8451343,High Risk,Month-to-month,90.4
0315-LVCRK,0.84463847,High Risk,Month-to-month,84.8
4128-ETESU,0.843537,High Risk,Month-to-month,99.7
6608-QQLVK,0.8435314,High Risk,Month-to-month,50.5
4735-ASGMA,0.8398514,High Risk,Month-to-month,98.35
7668-XCFYV,0.8395273,High Risk,Month-to-month,92.55
6680-WKXRZ,0.8386025,High Risk,Month-to-month,74.4
7571-YXDAD,0.8386025,High Risk,Month-to-month,74.9
4727-MCYZG,0.8382024,High Risk,Month-to-month,55.55
2485-ITVKB,0.8370498,High Risk,Month-to-month,35.1
4854-CIDCF,0.83529466,High Risk,Month-to-month,73.85
4631-OACRM,0.83509403,High Risk,Month-to-month,79.4
1236-WFCDV,0.8341729,High Risk,Month-to-month,90.45
3063-QFSZL,0.83400077,High Risk,Month-to-month,55.4
3721-CNEYS,0.83264065,High Risk,Month-to-month,70.95
9692-TUSXH,0.83217114,High Risk,Month-to-month,96.05
6000-APYLU,0.8307362,High Risk,Month-to-month,80.8
9685-WKZGT,0.8303333,High Risk,Month-to-month,74.95
0004-TLHLJ,0.8297979,High Risk,Month-to-month,73.9
7952-OBOYL,0.829657,High Risk,Month-to-month,89.85
7861-UVUFT,0.82844436,High Risk,Month-to-month,84.3
4342-HENTK,0.8273783,High Risk,Month-to-month,70.65
3030-YDNRM,0.82508194,High Risk,Month-to-month,74.85
8107-KNCIM,0.82393765,High Risk,Month-to-month,75.1
5928-QLDHB,0.8236766,High Risk,Month-to-month,76.25
3627-FHKBK,0.82214755,High Risk,Month-to-month,75.3
3374-LXDEV,0.82128483,High Risk,Month-to-month,89.4
0330-IVZHA,0.820679,High Risk,Month-to-month,69.95
0928-JMXNP,0.81980073,High Risk,Month-to-month,29.9
2985-FMWYF,0.8175919,High Risk,Month-to-month,93.5
9840-DVNDC,0.81755537,High Risk,Month-to-month,80.5
2495-INZWQ,0.816556,High Risk,Month-to-month,44.55
8699-ASUFO,0.81559944,High Risk,Month-to-month,74.4
6338-AVWCY,0.8141125,High Risk,Month-to-month,40.15
0576-WNXXC,0.81391954,High Risk,Month-to-month,95.55
0018-NYROU,0.8125945,High Risk,Month-to-month,68.95
9895-VFOXH,0.81175053,High Risk,Month-to-month,24.4
8938-UMKPI,0.8096244,High Risk,Month-to-month,106.4
0491-KAPQG,0.8094707,High Risk,Month-to-month,73.7
8397-MVTAZ,0.8074668,High Risk,Month-to-month,100.05
2845-HSJCY,0.8071922,High Risk,Month-to-month,87.25
3317-VLGQT,0.8070849,High Risk,Month-to-month,78.1
9208-OLGAQ,0.80692977,High Risk,Month-to-month,84.95
7912-SYRQT,0.806168,High Risk,Month-to-month,75.1
4998-IKFSE,0.8055733,High Risk,Month-to-month,100.45
6651-AZVTJ,0.8042448,High Risk,Month-to-month,99.8
7250-EQKIY,0.8023928,High Risk,Month-to-month,50.45
6158-HDPXZ,0.8020434,High Risk,Month-to-month,25.35
3672-YITQD,0.80201393,High Risk,Month-to-month,84.1
5759-RCVCB,0.8019957,High Risk,Month-to-month,35.2
7072-MBHEV,0.8017565,High Risk,Month-to-month,78.1
8739-WWKDU,0.8012205,High Risk,Month-to-month,89.5
7056-IMHCC,0.80042344,High Risk,Month-to-month,101.9
7495-OOKFY,0.7998272,High Risk,Month-to-month,80.65
6646-VRFOL,0.79900444,High Risk,Month-to-month,103.85
2897-DOVND,0.79883534,High Risk,Month-to-month,69.8
3496-LFSZU,0.79883534,High Risk,Month-to-month,70.5
6712-OAWRH,0.79857856,High Risk,Month-to-month,91.25
0506-LVNGN,0.797627,High Risk,Month-to-month,75.55
6212-ATMLK,0.7968676,High Risk,Month-to-month,95.7
2386-LAHRK,0.7966835,High Risk,Month-to-month,53.5
2103-ZRXFN,0.7966835,High Risk,Month-to-month,50.75
3966-HRMZA,0.7964943,High Risk,Month-to-month,75.05
4237-RLAQD,0.7962389,High Risk,Month-to-month,45.85
7754-IXRMC,0.7962389,High Risk,Month-to-month,45.35
5692-FPTAH,0.7962389,High Risk,Month-to-month,45.4
5339-PXDVH,0.79605514,High Risk,Month-to-month,90.65
8280-MQRQN,0.79524475,High Risk,Month-to-month,50.45
6047-YHPVI,0.7950413,High Risk,Month-to-month,69.7
4873-ILOLJ,0.7947129,High Risk,Month-to-month,90.35
7312-XSBAT,0.7945444,High Risk,Month-to-month,49.75
8993-PHFWD,0.79357386,High Risk,Month-to-month,25.25
2955-BJZHG,0.7934194,High Risk,Month-to-month,80.85
1666-JXLKU,0.7925191,High Risk,Month-to-month,100.05
4919-IKATY,0.79205614,High Risk,Month-to-month,84.5
8212-DJRCH,0.7918486,High Risk,Month-to-month,90.35
3926-CUQZX,0.7910048,High Risk,Month-to-month,45.1
5712-PTIWW,0.7885347,High Risk,Month-to-month,79.85
3223-DWFIO,0.788429,High Risk,Month-to-month,69.35
1522-VVDMG,0.78825307,High Risk,Month-to-month,89.75
4283-FUTGF,0.7879423,High Risk,Month-to-month,79.85
4817-VYYWS,0.7859953,High Risk,Month-to-month,100.2
3439-GVUSX,0.7846158,High Risk,Month-to-month,24.4
5103-MHMHY,0.7846041,High Risk,Month-to-month,45.95
1867-BDVFH,0.78432953,High Risk,Month-to-month,74.35
0685-MLYYM,0.7840364,High Risk,Month-to-month,70.75
5228-EXCET,0.78394455,High Risk,Month-to-month,80.85
3318-OSATS,0.78388864,High Risk,Month-to-month,95.45
9121-PHQSR,0.7838767,High Risk,Month-to-month,85.05
2824-MYYBN,0.7833225,High Risk,Month-to-month,95.25
3352-ALMCK,0.78323334,High Risk,Month-to-month,102.65
7252-NTGSS,0.7831569,High Risk,Month-to-month,45.15
6319-IEJWJ,0.78054523,High Risk,Month-to-month,90.2
4317-VTEOA,0.77917475,High Risk,Month-to-month,50.75
8445-DNBAE,0.7787712,High Risk,Month-to-month,50.05
6518-LGAOV,0.77803415,High Risk,Month-to-month,105.0
1587-FKLZB,0.7771345,High Risk,Month-to-month,99.5
3750-CKVKH,0.77657974,High Risk,Month-to-month,67.75
6661-HBGWL,0.77652353,High Risk,Month-to-month,104.75
2057-ZBLPD,0.7743355,High Risk,Month-to-month,86.5
3679-XASPY,0.7723448,High Risk,Month-to-month,19.45
4678-DVQEO,0.7717967,High Risk,Month-to-month,52.2
0447-RXSGD,0.7717548,High Risk,Month-to-month,99.65
7881-EVUAD,0.77134866,High Risk,Month-to-month,42.6
2043-WVTQJ,0.77124065,High Risk,Month-to-month,55.7
8393-DLHGA,0.77011377,High Risk,Month-to-month,95.9
1766-GKNMI,0.7697704,High Risk,Month-to-month,84.9
1894-IGFSG,0.7696253,High Risk,Month-to-month,89.25
3211-AAPKX,0.76958084,High Risk,Month-to-month,98.55
8083-YTZES,0.76937604,High Risk,Month-to-month,74.35
8429-XIBUM,0.7691244,High Risk,Month-to-month,101.35
0168-XZKBB,0.7686204,High Risk,Month-to-month,86.85
5091-HFAZW,0.7684553,High Risk,Month-to-month,91.15
3197-ARFOY,0.76797205,High Risk,Month-to-month,105.0
9389-ACWBI,0.76730955,High Risk,Month-to-month,69.95
8676-TRMJS,0.76607215,High Risk,Month-to-month,75.0
8709-KRDVL,0.7656355,High Risk,Month-to-month,100.0
9279-CJEOJ,0.76561224,High Risk,Month-to-month,95.4
5022-JNQEQ,0.76518303,High Risk,Month-to-month,75.85
8696-JKZNU,0.76443017,High Risk,Month-to-month,76.25
4846-WHAFZ,0.76443017,High Risk,Month-to-month,76.5
7587-RZNME,0.76416254,High Risk,Month-to-month,43.3
9112-WSNPU,0.76405007,High Risk,Month-to-month,70.55
5600-KTXFM,0.76389784,High Risk,Month-to-month,69.95
6557-BZXLQ,0.7628573,High Risk,Month-to-month,69.65
8621-MNIHH,0.762278,High Risk,Month-to-month,94.25
5207-PLSTK,0.76216686,High Risk,Month-to-month,48.75
5364-EVNIB,0.76214427,High Risk,Month-to-month,79.8
0886-QGENL,0.76208466,High Risk,Month-to-month,101.25
0524-IAVZO,0.7616304,High Risk,Month-to-month,85.0
5889-JTMUL,0.7592108,High Risk,Month-to-month,95.05
8819-IMISP,0.75896263,High Risk,Month-to-month,80.45
4208-UFFGW,0.7575833,High Risk,Month-to-month,44.95
4059-IIEBK,0.7564454,High Risk,Month-to-month,78.55
8849-AYPTR,0.7557329,High Risk,Month-to-month,91.25
5222-IMUKT,0.7557329,High Risk,Month-to-month,91.05
5630-IXDXV,0.7553916,High Risk,Month-to-month,106.35
2582-FFFZR,0.7543911,High Risk,Month-to-month,50.6
1212-GLHMD,0.75423616,High Risk,Month-to-month,86.05
0979-PHULV,0.75419927,High Risk,Month-to-month,99.45
6856-RAURS,0.75281245,High Risk,Month-to-month,74.9
6770-XUAGN,0.7527725,High Risk,Month-to-month,21.0
8695-ARGXZ,0.75207764,High Risk,Month-to-month,75.55
5899-OUVKV,0.75132036,High Risk,Month-to-month,94.5
7663-RGWBC,0.7506589,High Risk,Month-to-month,44.15
6317-YPKDH,0.75041324,High Risk,Month-to-month,29.95
1845-ZLLIG,0.7497615,High Risk,Month-to-month,50.15
3768-NLUBH,0.7492725,High Risk,Month-to-month,100.6
5351-QESIO,0.74893135,High Risk,Month-to-month,24.2
1902-XBTFB,0.7485037,High Risk,Month-to-month,89.4
3807-XHCJH,0.74717754,High Risk,Month-to-month,20.0
8914-RBTSB,0.7447336,High Risk,Month-to-month,93.8
4154-AQUGT,0.7436687,High Risk,Month-to-month,89.05
6022-UGGSO,0.74357444,High Risk,Month-to-month,74.4
7617-EYGLW,0.7407299,High Risk,Month-to-month,19.45
9465-RWMXL,0.7401513,High Risk,Month-to-month,78.9
5204-QZXPU,0.7397223,High Risk,Month-to-month,39.65
6298-QDFNH,0.7387534,High Risk,Month-to-month,79.35
8660-BUETV,0.7368916,High Risk,Month-to-month,44.75
6048-QBXKL,0.73556805,High Risk,Month-to-month,56.55
8272-ONJLV,0.73553413,High Risk,One year,95.7
9450-TRJUU,0.7354137,High Risk,Month-to-month,83.15
5650-YLIBA,0.73525226,High Risk,Month-to-month,81.15
6542-LWGXJ,0.73443234,High Risk,Month-to-month,25.0
3716-UVSPD,0.73407996,High Risk,Month-to-month,49.3
5331-RGMTT,0.73394734,High Risk,Month-to-month,99.05
7029-RPUAV,0.73384726,High Risk,Month-to-month,100.45
6166-ILMNY,0.7336994,High Risk,Month-to-month,69.75
4686-UXDML,0.7335823,High Risk,Month-to-month,99.85
3334-CTHOL,0.731851,High Risk,Month-to-month,49.95
6896-SRVYQ,0.7318394,High Risk,Month-to-month,73.85
1471-GIQKQ,0.73157245,High Risk,Month-to-month,49.95
7801-KICAO,0.7311928,High Risk,Month-to-month,74.15
6817-WTYHE,0.73007375,High Risk,Month-to-month,44.9
8058-DMYRU,0.7297072,High Risk,Month-to-month,90.05
5701-SVCWR,0.7289763,High Risk,Month-to-month,24.0
1156-ZFYDO,0.72839594,High Risk,Month-to-month,19.75
4029-HPFVY,0.7267532,High Risk,Month-to-month,70.3
3587-PMCOY,0.72593737,High Risk,One year,98.9
7422-WNBTY,0.7256397,High Risk,Month-to-month,93.35
7503-QQRVF,0.72506267,High Risk,Month-to-month,74.3
6537-QLGEX,0.72400033,High Risk,Month-to-month,38.9
7579-OOPEC,0.7238521,High Risk,Month-to-month,50.15
4412-YLTKF,0.7205222,High Risk,Month-to-month,78.05
8128-YVJRG,0.7201914,High Risk,Month-to-month,79.65
8631-WUXGY,0.7189634,High Risk,Month-to-month,99.8
5373-SFODM,0.7188766,High Risk,Month-to-month,85.25
8111-RKSPX,0.7178341,High Risk,Month-to-month,72.2
8873-GLDMH,0.7177899,High Risk,Month-to-month,73.85
4465-VDKIQ,0.7165691,High Risk,Month-to-month,77.8
8617-ENBDS,0.7164531,High Risk,Month-to-month,73.6
4690-LLKUA,0.7157607,High Risk,Month-to-month,45.05
3453-RTHJQ,0.7148797,High Risk,Month-to-month,69.1
0823-HSCDJ,0.7147488,High Risk,Month-to-month,49.15
6821-BUXUX,0.7124355,High Risk,Month-to-month,96.65
9274-UARKJ,0.711474,High Risk,Month-to-month,83.2
5380-WJKOV,0.7106559,High Risk,Month-to-month,106.35
8714-EUHJO,0.7106557,High Risk,Month-to-month,91.15
3665-JATSN,0.7094616,High Risk,Month-to-month,39.7
7018-WBJNK,0.70930165,High Risk,Month-to-month,78.3
9572-WUKSB,0.7076732,High Risk,Month-to-month,29.9
0822-QGCXA,0.706038,High Risk,Month-to-month,83.85
1092-GANHU,0.70548177,High Risk,Month-to-month,76.65
9506-UXUSK,0.7040454,High Risk,Month-to-month,70.15
3234-VKACU,0.7039074,High Risk,Month-to-month,70.3
4818-QIUFN,0.7037167,High Risk,Month-to-month,79.15
8378-LKJAF,0.70368457,High Risk,Month-to-month,101.15
9512-UIBFX,0.70352006,High Risk,Month-to-month,95.15
2573-GYRUU,0.7034987,High Risk,Month-to-month,91.05
4824-GUCBY,0.70311046,High Risk,Month-to-month,81.7
1469-LBJQJ,0.7030916,High Risk,Month-to-month,105.2
4329-YPDDQ,0.69733036,Medium Risk,Month-to-month,108.2
8059-UDZFY,0.69697917,Medium Risk,Month-to-month,105.35
4521-YEEHE,0.6959484,Medium Risk,Month-to-month,88.85
5976-JCJRH,0.69579107,Medium Risk,Month-to-month,70.3
2482-CZGBB,0.69579107,Medium Risk,Month-to-month,70.0
8751-EDEKA,0.6940253,Medium Risk,Month-to-month,89.9
0818-OCPZO,0.6918156,Medium Risk,Month-to-month,81.45
2277-VWCNI,0.6914842,Medium Risk,Month-to-month,48.75
2079-FBMZK,0.6903082,Medium Risk,Month-to-month,69.25
4829-AUOAX,0.68699914,Medium Risk,Month-to-month,96.05
8757-TFHHJ,0.6863339,Medium Risk,Month-to-month,49.8
3540-RZJYU,0.6856243,Medium Risk,Month-to-month,86.2
1391-UBDAR,0.6855504,Medium Risk,Month-to-month,72.9
8805-JNRAZ,0.68526495,Medium Risk,Month-to-month,49.2
8654-DHAOW,0.68526495,Medium Risk,Month-to-month,54.15
3923-CSIHK,0.68469715,Medium Risk,Month-to-month,71.05
2860-RANUS,0.68368185,Medium Risk,Month-to-month,85.8
1816-FLZDK,0.68300664,Medium Risk,Month-to-month,29.15
8495-PRWFH,0.68167543,Medium Risk,Month-to-month,55.65
3658-KIBGF,0.68149275,Medium Risk,Month-to-month,54.9
9732-KPKBW,0.68109477,Medium Risk,Month-to-month,53.95
9992-UJOEL,0.67936975,Medium Risk,Month-to-month,50.3
8896-BQTTI,0.67829585,Medium Risk,Month-to-month,25.0
7410-YTJIK,0.67671007,Medium Risk,Month-to-month,75.45
2070-FNEXE,0.67613184,Medium Risk,Month-to-month,76.45
8620-RJPZN,0.6759382,Medium Risk,Month-to-month,20.7
4646-QZXTF,0.6752487,Medium Risk,Month-to-month,81.25
9851-KIELU,0.67482483,Medium Risk,Month-to-month,110.1
9979-RGMZT,0.6742739,Medium Risk,One year,94.05
7534-BFESC,0.6738456,Medium Risk,Month-to-month,76.1
6635-CPNUN,0.6696135,Medium Risk,Month-to-month,96.6
2144-BFDSO,0.66879463,Medium Risk,Month-to-month,108.75
5813-UECBU,0.6685153,Medium Risk,Month-to-month,83.85
7296-PIXQY,0.66792357,Medium Risk,Month-to-month,70.2
3594-KADLU,0.6676002,Medium Risk,Month-to-month,35.1
0256-LTHVJ,0.6672005,Medium Risk,Month-to-month,81.05
1608-GMEWB,0.6668323,Medium Risk,Month-to-month,93.9
4512-ZUIYL,0.6661727,Medium Risk,Month-to-month,70.0
6362-QHAFM,0.6659176,Medium Risk,One year,108.3
5950-AAAGJ,0.6658242,Medium Risk,Month-to-month,84.3
2812-SFXMJ,0.665765,Medium Risk,Month-to-month,20.05
0096-BXERS,0.6656802,Medium Risk,Month-to-month,50.35
7470-MCQTK,0.66516274,Medium Risk,Month-to-month,48.75
7752-XUSCI,0.66388386,Medium Risk,Month-to-month,105.9
8637-XJIVR,0.6627246,Medium Risk,Month-to-month,78.95
6259-WJQLC,0.6627171,Medium Risk,Month-to-month,81.1
3858-VOBET,0.6611968,Medium Risk,Month-to-month,74.95
0015-UOCOJ,0.6608352,Medium Risk,Month-to-month,48.2
8393-JMVMB,0.6586398,Medium Risk,Month-to-month,19.45
5281-BUZGT,0.65840364,Medium Risk,Month-to-month,90.85
3932-CMDTD,0.6580445,Medium Risk,One year,105.65
9667-TKTVZ,0.6572514,Medium Risk,Month-to-month,54.35
7529-ZDFXI,0.65642434,Medium Risk,Month-to-month,89.85
4892-VLANZ,0.65391314,Medium Risk,Month-to-month,19.8
2465-BLLEU,0.65391314,Medium Risk,Month-to-month,19.75
3930-ZGWVE,0.65391314,Medium Risk,Month-to-month,19.75
7239-HZZCX,0.65391314,Medium Risk,Month-to-month,19.75
1066-JKSGK,0.65391314,Medium Risk,Month-to-month,20.15
1240-KNSEZ,0.65391314,Medium Risk,Month-to-month,20.1
3785-NRHYR,0.65391314,Medium Risk,Month-to-month,19.65
2369-FEVNO,0.65391314,Medium Risk,Month-to-month,19.9
9576-ANLXO,0.6537469,Medium Risk,Month-to-month,69.55
5445-GLVOT,0.6525403,Medium Risk,Month-to-month,49.8
1965-DDBWU,0.6519987,Medium Risk,Month-to-month,89.05
5356-CSVSQ,0.65155107,Medium Risk,Month-to-month,64.6
0388-EOPEX,0.6494162,Medium Risk,Month-to-month,74.4
2866-IKBTM,0.6490636,Medium Risk,Month-to-month,19.55
1763-WQFUK,0.64820635,Medium Risk,Month-to-month,50.5
7351-KYHQH,0.6477504,Medium Risk,Month-to-month,64.95
2309-OSFEU,0.6469801,Medium Risk,Month-to-month,33.9
1074-AMIOH,0.6466524,Medium Risk,Month-to-month,108.25
9522-BNTHX,0.6465248,Medium Risk,Month-to-month,56.25
6124-ACRHJ,0.64427596,Medium Risk,Month-to-month,19.75
9050-QLROH,0.6436441,Medium Risk,Month-to-month,90.7
6710-HSJRD,0.6427126,Medium Risk,Month-to-month,114.1
1493-AMTIE,0.6424405,Medium Risk,Month-to-month,20.2
4989-LIXVT,0.640459,Medium Risk,Month-to-month,95.9
3692-JHONH,0.63899523,Medium Risk,One year,106.5
6834-NXDCA,0.63788885,Medium Risk,Month-to-month,23.9
0778-NELLA,0.63775855,Medium Risk,Month-to-month,34.7
0611-DFXKO,0.6376396,Medium Risk,Month-to-month,89.0
6652-YFFJO,0.63646,Medium Risk,Month-to-month,64.9
9048-JVYVF,0.636059,Medium Risk,Month-to-month,69.35
6711-VTNRE,0.6347831,Medium Risk,Month-to-month,87.55
